Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1977,"331,1","81,5","115,1","140,3","27,3","30,8","7,9","25,3","84,2","78,7","131,8","242,1"
1978,"134,3","161,3","228,2","17,7","117,6","68,8","78,4","7,5","40,1","80,6","368,7","197,5"
1979,"79,1","203,2","98,3","81,8","115,2","3,2","51,8","63,6","138,7","197,4","168,5",95
1980,"230,6","336,5",120,"101,8","5,5","43,6","23,9","21,8","67,5","62,4","134,8","309,3"
1981,"198,9",132,"108,9","111,5","22,4","60,8","61,1","23,3","20,1","208,4","210,2","174,9"
1982,"223,8","321,3","100,3","77,7","77,1","188,8","51,3","68,3",20,"171,5",135,"269,4"
1983,213,"329,2","261,9","215,3","188,5",230,"44,3","14,3","209,7","144,6",121,"256,7"
1984,"265,8","52,4","83,4",118,73,"1,6","23,7","118,9","136,1","17,2","69,8","115,8"
1985,"169,7","383,5","151,5",79,"81,4","16,2","4,8","6,3","80,3","44,8","73,1","85,2"
1986,214,"317,9","280,7","60,1","103,4","7,2","31,5","114,9","39,5","39,8","129,5","219,8"
1987,"295,4","204,6",150,"140,9","256,1","204,3","9,6","12,9",59,"111,4","70,3","141,1"
1988,"221,2",293,"204,3","153,7","211,1","59,7","10,1","3,6","39,7","155,1","101,9","260,6"
1989,"426,6","178,8","204,3","98,8","58,8","43,6","206,9","36,2","77,1","90,4","108,4",176
1990,"308,8","113,2","275,3",108,"72,2","29,6","122,4","38,4","76,3","91,1","121,8","158,2"
1991,"306,9","235,7",473,"211,2","55,6","66,3","24,7",41,"72,6","134,3",80,"222,2"
1992,"143,4","149,7","250,7","46,1","62,3","8,4","34,9","53,6","131,7","204,9","171,7","185,3"
1993,"173,3","240,8","155,9",47,"79,5","53,7","16,8","70,2","181,1","118,4","59,4","108,4"
1994,"212,4","249,5","162,7",80,"29,9","40,6","35,8","5,5","5,5","52,1","134,1","277,7"
1995,"275,2","439,6","177,5","83,2","44,1","36,6","46,8","24,2","60,2","195,3","95,7","172,3"
1996,"388,5","247,7","342,4","37,9","50,1","49,5","8,3",22,"146,8","158,8","85,7","386,4"
1997,"337,7","111,8","61,6","53,5",78,"107,4","13,9","38,7","130,6","126,4",164,"204,5"
1998,"216,6","227,1",254,"52,3","93,8","20,8","22,8","40,8","102,6","187,3","44,1","124,7"
1999,"228,7","288,8","181,2","84,1","50,8","92,1","42,4","6,4","75,3","51,3","46,7","59,9"
2000,"388,6","267,1","218,9","6,4","9,4","20,4","58,3","68,4","107,7","123,4","246,6",264
2001,"140,8","155,9","198,1","43,9","90,6","26,4","60,9","20,7",55,"244,5","108,2","179,3"
2002,"337,5","176,7","169,5","46,9",70,"5,3","37,9","50,7","76,2","127,9","217,8","136,7"
2003,"262,7","162,7","110,8","87,6","24,6","20,4",15,"23,9","34,9","106,5","103,3","110,8"
2004,"210,7","273,9","159,4","191,8",58,"99,7","102,4","2,8","23,4","107,8","291,6","224,2"
2005,"384,4","80,5","103,6","81,7","175,6","23,1","18,3","7,9","143,2","162,7","92,1","179,6"
2006,"262,1","197,9","280,5","46,1","11,4","21,7","70,9","10,4","109,9","84,6",238,"158,9"
2007,"216,9","272,1","193,1","91,4","53,9","25,9","161,9","0,7","3,7",88,"122,5","197,7"
2008,"259,7","221,1","75,7","121,1","55,7","75,3","0,4","86,8","41,9","145,6","113,3","256,3"
2009,"233,9","219,2","245,8","52,3","55,4","39,5",203,"50,5","202,2","138,7","234,4","210,6"
2010,"629,8","402,2","163,9","130,4","80,4","12,7","89,7","3,7","96,7","76,6","108,5","319,1"
2011,456,"321,3","107,1","102,3","23,6","65,4","11,9","52,6","17,1","173,6","109,5","238,3"
2012,"395,2","255,2","150,2","152,6","73,1","191,4","87,9","1,8",22,"90,7","164,2","389,9"
2013,"190,2","281,4","191,1","91,8","40,1","126,8",86,"10,1","90,9","116,8","200,8","71,3"
2014,"199,3","73,5","229,6","93,9","64,6","27,4","36,6","28,5","73,2","25,1","151,9","217,3"
2015,"262,5","252,8","244,8","50,1","56,3","33,9",119,"24,5","216,6","97,7","288,5","172,8"
2016,"168,8","338,7","193,9","2,8","134,5","197,1","7,4","64,8","33,1","82,2","187,6","134,2"
2017,"368,8","158,4","141,3","187,6","135,9",102,"2,2","75,5","12,6","156,2","196,2","105,3"
2018,"186,7",64,"202,9","70,2","20,5","21,5","20,6","45,9","80,3","175,9","108,3","146,7"
2019,268,"423,9","329,2","164,4","53,8","62,3","113,8","8,7","82,5","40,3","163,8","116,4"
2020,"208,7",---,---,---,---,---,---,---,---,---,---,"250,5"
2021,"212,6","355,4","193,9","77,8","54,3","13,7","44,9","38,9","19,9","169,8","138,6","93,8"
2022,"375,9","66,7",370,"26,4","51,1","35,3","6,3","46,7","138,9","114,4","153,7",212
2023,"255,8","411,2","283,8","94,9",---,---,---,---,---,---,---,---
